timestamp,nProbes,nSites,nQueries,nResponses,q25RTT,q50RTT,q75RTT,q90RTT
1491004800,9282,45,23178,23178,14.5880,30.8855,55.7700,115.6900
1491005400,9279,45,23179,23179,14.5770,30.9700,56.0560,115.6530
1491006000,9274,45,23172,23172,14.5870,30.8315,55.7410,114.4500
1491006600,9273,45,23130,23130,14.5340,30.8870,56.2050,116.5920
1491007200,9275,45,23147,23147,14.5920,30.7230,55.8800,115.5760
1491007800,9280,45,23157,23157,14.5700,30.8440,55.7990,114.8820
1491008400,9276,45,23156,23156,14.6500,30.9035,55.6900,114.8840
1491009000,9271,45,23133,23133,14.5900,30.9250,55.6990,116.5580
1491009600,9268,45,23132,23132,14.6030,30.8555,55.8500,115.7720
1491010200,9270,45,23153,23153,14.5300,30.7400,55.6850,115.0000
1491010800,9275,45,23146,23146,14.6160,30.7555,55.6210,115.7100
1491011400,9276,45,23133,23133,14.4990,30.7990,55.6370,114.5070
1491012000,9273,45,23138,23138,14.6630,30.8125,55.3160,115.0860
1491012600,9270,45,23115,23115,14.5650,30.8340,55.3420,114.6690
1491013200,9273,45,23156,23156,14.6230,30.6900,55.7560,114.3500
1491013800,9267,45,23108,23108,14.4930,30.7955,55.9890,116.1650
1491014400,9267,45,23156,23156,14.5780,30.8125,55.3730,112.7430
1491015000,9276,45,23177,23177,14.5660,30.8610,55.4560,114.0110
1491015600,9274,45,23154,23154,14.6080,30.7715,55.5880,113.6260
1491016200,9270,45,23135,23135,14.6260,30.9110,55.5420,113.9470
1491016800,9272,45,23140,23140,14.6500,30.7845,55.5420,114.8580
1491017400,9273,45,23147,23147,14.5340,30.8220,55.5990,115.6600
1491018000,9273,45,23135,23135,14.5670,30.8230,55.6130,114.9240
1491018600,9281,45,23175,23175,14.5730,30.9130,55.3620,113.5790
1491019200,9274,45,23150,23150,14.6370,30.7945,55.4560,114.4920
1491019800,9272,45,23175,23175,14.5480,30.8730,55.4710,115.4740
1491020400,9273,45,23144,23144,14.5790,30.7470,55.6780,113.6910
1491021000,9279,45,23152,23152,14.5700,30.8730,55.8430,116.2900
1491021600,9274,45,23151,23151,14.6600,30.7170,55.3880,113.9970
1491022200,9280,45,23125,23125,14.5090,30.8120,55.5660,114.5990
1491022800,9278,45,23174,23174,14.5470,30.7985,55.6280,113.1610
1491023400,9284,45,23187,23187,14.6340,30.9590,55.3800,113.0540
1491024000,9282,45,23176,23176,14.5920,30.7370,55.2660,112.6410
1491024600,9282,45,23167,23167,14.5900,30.8620,55.6040,113.1290
1491025200,9276,45,23172,23172,14.6470,30.8205,55.6030,112.8310
1491025800,9285,45,23181,23181,14.6480,31.0560,55.6160,113.0300
1491026400,9281,45,23164,23164,14.6770,31.0095,55.3030,113.4070
1491027000,9276,45,23161,23161,14.7050,30.9220,55.5490,113.7510
1491027600,9279,45,23149,23149,14.6500,31.0010,55.5520,113.2790
1491028200,9284,45,23154,23154,14.6510,31.0915,55.9020,115.3170
1491028800,9288,45,23172,23172,14.6930,30.9870,55.5750,113.2670
1491029400,9293,45,23235,23235,14.6570,30.9520,55.3850,112.9830
