timestamp,nProbes,nSites,nQueries,nResponses,q25RTT,q50RTT,q75RTT,q90RTT
1448841600,8786,30,21855,21855,17.0460,35.6260,68.2280,142.2330
1448842200,8778,30,21990,21990,17.5540,36.0940,69.8810,143.5410
1448842800,8780,30,21866,21866,16.9840,35.5250,68.3710,143.7170
1448843400,8776,30,21986,21986,17.3670,36.0025,69.7680,143.6280
1448844000,8772,30,21833,21833,17.0090,35.3920,67.5330,141.6840
1448844600,8780,30,22000,22000,17.4280,35.9385,69.2680,143.4340
1448845200,8779,30,21851,21851,17.0660,35.4330,68.0970,143.1940
1448845800,8776,30,21988,21988,17.3920,35.9185,69.8720,144.2210
1448846400,8778,30,21860,21860,16.9550,35.3815,67.7270,142.1390
1448847000,8778,30,21977,21977,17.4240,36.0230,69.5230,143.9620
1448847600,8775,30,21866,21866,17.0080,35.5185,68.1680,146.1010
1448848200,8776,30,22004,22004,17.3740,36.0400,69.8760,146.0680
1448848800,8779,30,21844,21844,17.0040,35.5615,68.0770,143.3060
1448849400,8773,30,21987,21987,17.5260,35.9690,69.7660,144.2600
1448850000,8773,30,21869,21869,16.9430,35.4320,68.3980,143.8330
1448850600,8780,30,21978,21978,17.4320,35.9360,69.7790,145.5180
1448851200,8771,30,21869,21869,16.8380,35.3990,67.8490,144.2730
1448851800,8779,30,21994,21994,17.2930,35.9130,69.6460,144.3860
1448852400,8791,30,21884,21884,16.9580,35.2670,67.8970,143.0130
1448853000,8785,30,22008,22008,17.3140,35.9545,69.6850,144.0980
1448853600,8781,30,21884,21884,16.9210,35.3215,67.4160,143.5720
1448854200,8783,30,21998,21998,17.4260,35.8060,69.3300,144.1230
1448854800,8784,30,21907,21907,17.0170,35.4750,67.4200,143.1900
1448855400,8785,30,21962,21962,17.3900,35.9125,68.3280,144.3090
1448856000,8784,30,21837,21837,16.9750,35.4280,67.7390,143.6490
1448856600,8788,30,22022,22022,17.4510,35.9355,68.7760,144.6240
1448857200,8792,30,21880,21880,16.8930,35.4230,67.6690,143.7720
1448857800,8790,30,22016,22016,17.3560,36.0115,68.6450,144.6650
1448858400,8789,30,21890,21890,17.0910,35.5425,67.3330,143.9520
1448859000,8781,30,22003,22003,17.3670,35.9090,68.3460,144.7070
1448859600,8790,30,21880,21880,16.9690,35.4245,67.1670,142.8850
1448860200,8791,30,22024,22024,17.3640,35.9735,68.8080,143.5980
